cnpj;nome_fantasia;cnae_fiscal_principal;descricao_cnae;segmento_varejo;exposicao_ecommerce;bairro;bairro_normalizado;eh_centro;data_inicio_atividade;situacao_cadastral;descricao_situacao_cadastral;baixada;data_fechamento;ano_fechamento;mes_fechamento;periodo_fechamento;fechou_desde_2000
00545577000189;;4722901;Comércio varejista de carnes - açougues;Varejo alimentar;Baixa/Não direta;VL REZENDE;VL REZENDE;False;1995-04-06;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
05514917000128;BAMBINI;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;SANTA TEREZINHA;SANTA TEREZINHA;False;2003-02-12;04;INAPTA;False;;;;;False
00549117000129;;4773300;Comércio varejista de artigos médicos e ortopédicos;Saúde;Média;SAO JUDAS TADEU;SAO JUDAS TADEU;False;1995-04-11;02;ATIVA;False;;;;;False
00549831000117;BAR E MERCEARIA ZE AFONSO;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;JD CAMARGO;JD CAMARGO;False;1995-04-11;08;BAIXADA;True;2017-01-19;2017;1;2016-2019;True
03860227000103;;4756300;Comércio varejista especializado de instrumentos musicais e acessórios;Cultura e lazer;Alta;CENTRO;CENTRO;True;2000-06-02;04;INAPTA;False;;;;;False
03871576000112;PIZZA E VINHO;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;VILA MONTEIRO;VILA MONTEIRO;False;2000-05-22;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
02182956000187;JUPLAST;4774100;Comércio varejista de artigos de óptica;Óptica;Média;PAULICEIA;PAULICEIA;False;1997-10-21;08;BAIXADA;True;2011-02-18;2011;2;2010-2015;True
05531069000165;;4755502;Comercio varejista de artigos de armarinho;Casa e decoração;Alta;NOVA AMERICA;NOVA AMERICA;False;2003-02-20;02;ATIVA;False;;;;;False
00566197000120;TONER HELP COPIADORAS;4789007;Comércio varejista de equipamentos para escritório;Outros varejos;Média;NOVA AMERICA;NOVA AMERICA;False;1995-04-13;08;BAIXADA;True;2015-02-09;2015;2;2010-2015;True
00569166000123;DISK FRIOS SAO JOSE;4729601;Tabacaria;Varejo alimentar;Média;CENTRO;CENTRO;True;1995-04-18;08;BAIXADA;True;1996-10-28;1996;10;Antes de 2000;False
03882472000103;;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;SANTA ROSA IPES;SANTA ROSA IPES;False;2000-06-15;08;BAIXADA;True;2019-06-28;2019;6;2016-2019;True
05544817000144;;4782202;Comércio varejista de artigos de viagem;Moda;Alta;CENTRO;CENTRO;True;2003-03-07;08;BAIXADA;True;2007-12-12;2007;12;2000-2009;True
00578920000191;BAR E MERCEARIA MAICHAKINHO;4712100;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Varejo alimentar;Média;VL IBIRAPUERA;VL IBIRAPUERA;False;1995-04-25;08;BAIXADA;True;2008-12-31;2008;12;2000-2009;True
00579140000166;SOB MEDIDA;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;ALTO;ALTO;False;1995-04-24;08;BAIXADA;True;1995-09-30;1995;9;Antes de 2000;False
01948380000234;FENIX PROMOCOES LTDA;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;CENTRO;CENTRO;True;1997-08-25;04;INAPTA;False;;;;;False
00582909000103;COMERCIAL MATEUS;4744001;Comércio varejista de ferragens e ferramentas;Casa e construção;Média;STA TEREZINHA;STA TEREZINHA;False;1995-04-26;08;BAIXADA;True;1998-06-30;1998;6;Antes de 2000;False
00588933000141;;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Tecnologia;Alta;CENTRO;CENTRO;True;1995-04-27;08;BAIXADA;True;2015-02-09;2015;2;2010-2015;True
03908520000195;;4751201;Comércio varejista especializado de equipamentos e suprimentos de informática;Tecnologia;Alta;JDM BRASILIA;JDM BRASILIA;False;2000-06-27;08;BAIXADA;True;2005-09-02;2005;9;2000-2009;True
05572009000190;PIRANAUTICA;4763605;"Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios";Esporte e lazer;Alta;JARAGUA;JARAGUA;False;2003-03-24;08;BAIXADA;True;2010-11-05;2010;11;2010-2015;True
05579538000116;;4789099;Comércio varejista de outros produtos não especificados anteriormente;Outros varejos;Média;VILA RESENDE;VILA RESENDE;False;2003-03-24;04;INAPTA;False;;;;;False
03920481000141;;4754702;Comércio varejista de artigos de colchoaria;Casa e decoração;Alta;CENTRO;CENTRO;True;2000-07-10;02;ATIVA;False;;;;;False
03925213000112;BAZAR ESTRELA;4781400;Comércio varejista de artigos do vestuário e acessórios;Moda;Alta;JARDIM IBIRAPUERA;JARDIM IBIRAPUERA;False;2000-07-05;04;INAPTA;False;;;;;False
05591576000194;;4771701;Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas;Farmacêutico;Média;PAULICEIA;PAULICEIA;False;2003-03-26;02;ATIVA;False;;;;;False
02248760000148;;4724500;Comércio varejista de hortifrutigranjeiros;Varejo alimentar;Baixa/Não direta;CENTRO;CENTRO;True;1997-11-25;02;ATIVA;False;;;;;False
02251887000116;;4753900;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;Eletroeletrônicos;Alta;PQ PIRACICABA;PQ PIRACICABA;False;1997-11-19;08;BAIXADA;True;1998-03-31;1998;3;Antes de 2000;False
